date,ensemble
2022-01-26,10920601273.586824
2022-01-27,10905033793.685162
2022-01-28,10929710121.297104
2022-02-07,10967393896.850813
2022-02-08,10934815127.599962
2022-02-09,10950898041.560429
2022-02-10,10969927312.398552
2022-02-11,10959168048.038954
2022-02-14,10940939241.118694
2022-02-15,11063941059.457865
2022-02-16,11089889678.818048
2022-02-17,11154807410.130035
2022-02-18,11166662590.821278
2022-02-21,11182594160.10278
2022-02-22,11132374840.597548
2022-02-23,11220116256.99395
2022-02-24,11231392053.638916
2022-02-25,11225614580.49321
2022-02-28,11207553081.546194
2022-03-01,11232166601.662804
2022-03-02,11238726428.063452
2022-03-03,11308665667.96625
2022-03-04,11336174964.73135
2022-03-07,11314084209.988894
2022-03-08,11241983333.613811
2022-03-09,11216053469.855171
2022-03-10,11181222865.283474
2022-03-11,11081061681.512714
2022-03-14,10983417519.26096
2022-03-15,11044461836.509356
2022-03-16,11069688173.50188
2022-03-17,11035401025.979366
2022-03-18,11102054267.87906
2022-03-21,11288587270.938929
2022-03-22,11377690383.53347
2022-03-23,11366638610.788986
2022-03-24,11368446720.44423
2022-03-25,11353476595.728577
2022-03-28,11316950440.973791
2022-03-29,11437586454.91273
2022-03-30,11364066940.667145
2022-03-31,11320253903.642784
2022-04-01,11465919045.826698
2022-04-04,11468163505.832045
2022-04-05,11446961893.047647
2022-04-06,11479821451.778044
2022-04-07,11359033091.68888
2022-04-08,11240249088.19872
2022-04-12,11088681529.122627
2022-04-13,11254084478.87606
2022-04-14,11185840566.78752
2022-04-15,11123697468.342422
2022-04-18,11041686286.32636
2022-04-19,10821371369.815224
2022-04-20,10742573456.533466
2022-04-21,10674432340.63674
2022-04-22,10647069016.85109
2022-04-25,10248436036.669518
2022-04-26,10381506719.08682
2022-04-27,10497867718.36516
2022-04-28,10521398596.210953
2022-04-29,10595010925.166588
2022-05-04,10472815132.668434
2022-05-05,10540113136.14284
2022-05-06,10349142536.96123
2022-05-09,10029174581.066393
2022-05-10,10211874876.343554
2022-05-11,10283423079.717129
2022-05-12,9843914775.859877
2022-05-13,9519016959.393524
2022-05-16,9384822543.427078
